mutation_type,metric,count,mean,std,min,25%,median,75%,max
1SNP,grantham_scores,97.0,78.11340206185567,44.95457806883609,5.0,38.0,76.0,109.0,177.0
1SNP,blosum62_scores,97.0,935.1958762886597,2.201510727781285,930.0,934.0,935.0,937.0,940.0
1SNP,mutation_probability,97.0,1.7876860539390653e-09,7.83971019974168e-10,1.2908601530924764e-09,1.2908601530924764e-09,1.2908601530924764e-09,3.0120070238824444e-09,3.0120070238824444e-09
2SNP,grantham_scores,4557.0,154.29997805573842,63.04022527080964,5.0,106.0,152.0,198.0,337.0
2SNP,blosum62_scores,4557.0,929.5565064735572,3.12943976391391,920.0,927.0,930.0,932.0,939.0
2SNP,mutation_probability,4557.0,1.783398228123861e-17,1.15007198347572e-17,9.294193111560025e-18,9.294193111560025e-18,9.294193111560025e-18,2.1686450593640054e-17,5.060171805182678e-17
del3bp,grantham_scores,27.0,12082.74074074074,362.3103846356254,11453.0,11759.5,12100.0,12387.5,12704.0
del3bp,blosum62_scores,27.0,923.7777777777778,2.5318484177091665,919.0,922.0,924.0,926.0,927.0
del3bp,mutation_probability,27.0,4.302867176974923e-10,1.0536723120188838e-25,4.302867176974922e-10,4.302867176974922e-10,4.302867176974922e-10,4.302867176974922e-10,4.302867176974922e-10
ins3bp,grantham_scores,33.0,12142.060606060606,406.9791102896084,11381.0,11827.0,12106.0,12489.0,12804.0
ins3bp,blosum62_scores,33.0,928.030303030303,3.2738055883486776,922.0,925.0,931.0,931.0,931.0
ins3bp,mutation_probability,33.0,4.302867176974922e-10,0.0,4.302867176974922e-10,4.302867176974922e-10,4.302867176974922e-10,4.302867176974922e-10,4.302867176974922e-10
